db_id,query,question,query_toks,query_toks_no_value,question_toks,ask_response_thinking,ask_response_non_thinking,thinking_eval,non_thinking_eval,thinking_correct,non_thinking_correct,thinking_error,non_thinking_error,thinking_generated_sql,non_thinking_generated_sql,thinking_generated_row_count,non_thinking_generated_row_count,golden_row_count,source_file
concert_singer,SELECT count(*) FROM singer,How many singers do we have?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['How', 'many', 'singers', 'do', 'we', 'have', '?']","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'How many singers do we have?', 'is_thinking': True, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT COUNT(singer.singer_id) AS total_singers FROM singer', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT COUNT(singer.singer_id) AS total_singers FROM singer', 'ask_reached_end': True}","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'How many singers do we have?', 'is_thinking': False, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT COUNT(*) FROM singer;', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT COUNT(*) FROM singer;', 'ask_reached_end': True}","{'correct': True, 'error': None, 'generated_sql': 'SELECT COUNT(singer.singer_id) AS total_singers FROM singer', 'golden_sql': 'SELECT count(*) FROM singer', 'generated_result': [[6]], 'golden_result': [[6]], 'generated_row_count': 1, 'golden_row_count': 1}","{'correct': True, 'error': None, 'generated_sql': 'SELECT COUNT(*) FROM singer', 'golden_sql': 'SELECT count(*) FROM singer', 'generated_result': [[6]], 'golden_result': [[6]], 'generated_row_count': 1, 'golden_row_count': 1}",True,True,,,SELECT COUNT(singer.singer_id) AS total_singers FROM singer,SELECT COUNT(*) FROM singer,1.0,1.0,1.0,spider_test_with_ask_responses_offset_0_max_rows_100.json
concert_singer,SELECT count(*) FROM singer,What is the total number of singers?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['What', 'is', 'the', 'total', 'number', 'of', 'singers', '?']","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What is the total number of singers?', 'is_thinking': True, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT COUNT(singer.singer_id) AS total_singers FROM singer', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT COUNT(singer.singer_id) AS total_singers FROM singer', 'ask_reached_end': True}","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What is the total number of singers?', 'is_thinking': False, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT count(*) FROM singer;', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT count(*) FROM singer;', 'ask_reached_end': True}","{'correct': True, 'error': None, 'generated_sql': 'SELECT COUNT(singer.singer_id) AS total_singers FROM singer', 'golden_sql': 'SELECT count(*) FROM singer', 'generated_result': [[6]], 'golden_result': [[6]], 'generated_row_count': 1, 'golden_row_count': 1}","{'correct': True, 'error': None, 'generated_sql': 'SELECT count(*) FROM singer', 'golden_sql': 'SELECT count(*) FROM singer', 'generated_result': [[6]], 'golden_result': [[6]], 'generated_row_count': 1, 'golden_row_count': 1}",True,True,,,SELECT COUNT(singer.singer_id) AS total_singers FROM singer,SELECT count(*) FROM singer,1.0,1.0,1.0,spider_test_with_ask_responses_offset_0_max_rows_100.json
concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","Show name, country, age for all singers ordered by age from the oldest to the youngest.","['SELECT', 'name', ',', 'country', ',', 'age', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'DESC']","['select', 'name', ',', 'country', ',', 'age', 'from', 'singer', 'order', 'by', 'age', 'desc']","['Show', 'name', ',', 'country', ',', 'age', 'for', 'all', 'singers', 'ordered', 'by', 'age', 'from', 'the', 'oldest', 'to', 'the', 'youngest', '.']","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'Show name, country, age for all singers ordered by age from the oldest to the youngest.', 'is_thinking': True, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT name, country, age FROM singer ORDER BY age DESC', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT name, country, age FROM singer ORDER BY age DESC', 'ask_reached_end': True}","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'Show name, country, age for all singers ordered by age from the oldest to the youngest.', 'is_thinking': False, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': '```sqlite\nSELECT\n  name,\n  country,\n  age\nFROM singer\nORDER BY\n  age DESC;\n```', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': '```sqlite\nSELECT\n  name,\n  country,\n  age\nFROM singer\nORDER BY\n  age DESC;\n```', 'ask_reached_end': True}","{'correct': True, 'error': None, 'generated_sql': 'SELECT name, country, age FROM singer ORDER BY age DESC', 'golden_sql': 'SELECT name ,  country ,  age FROM singer ORDER BY age DESC', 'generated_result': [['Joe Sharp', 'Netherlands', 52], ['John Nizinik', 'France', 43], ['Rose White', 'France', 41], ['Timbaland', 'United States', 32], ['Justin Brown', 'France', 29], ['Tribal King', 'France', 25]], 'golden_result': [['Joe Sharp', 'Netherlands', 52], ['John Nizinik', 'France', 43], ['Rose White', 'France', 41], ['Timbaland', 'United States', 32], ['Justin Brown', 'France', 29], ['Tribal King', 'France', 25]], 'generated_row_count': 6, 'golden_row_count': 6}","{'correct': True, 'error': None, 'generated_sql': 'SELECT\n  name,\n  country,\n  age\nFROM singer\nORDER BY\n  age DESC', 'golden_sql': 'SELECT name ,  country ,  age FROM singer ORDER BY age DESC', 'generated_result': [['Joe Sharp', 'Netherlands', 52], ['John Nizinik', 'France', 43], ['Rose White', 'France', 41], ['Timbaland', 'United States', 32], ['Justin Brown', 'France', 29], ['Tribal King', 'France', 25]], 'golden_result': [['Joe Sharp', 'Netherlands', 52], ['John Nizinik', 'France', 43], ['Rose White', 'France', 41], ['Timbaland', 'United States', 32], ['Justin Brown', 'France', 29], ['Tribal King', 'France', 25]], 'generated_row_count': 6, 'golden_row_count': 6}",True,True,,,"SELECT name, country, age FROM singer ORDER BY age DESC","SELECT
  name,
  country,
  age
FROM singer
ORDER BY
  age DESC",6.0,6.0,6.0,spider_test_with_ask_responses_offset_0_max_rows_100.json
concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","What are the names, countries, and ages for every singer in descending order of age?","['SELECT', 'name', ',', 'country', ',', 'age', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'DESC']","['select', 'name', ',', 'country', ',', 'age', 'from', 'singer', 'order', 'by', 'age', 'desc']","['What', 'are', 'the', 'names', ',', 'countries', ',', 'and', 'ages', 'for', 'every', 'singer', 'in', 'descending', 'order', 'of', 'age', '?']","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What are the names, countries, and ages for every singer in descending order of age?', 'is_thinking': True, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT name, country, age FROM singer ORDER BY age DESC', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT name, country, age FROM singer ORDER BY age DESC', 'ask_reached_end': True}","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What are the names, countries, and ages for every singer in descending order of age?', 'is_thinking': False, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': '```sqlite\nSELECT\n  name,\n  country,\n  age\nFROM singer\nORDER BY\n  age DESC;\n```', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': '```sqlite\nSELECT\n  name,\n  country,\n  age\nFROM singer\nORDER BY\n  age DESC;\n```', 'ask_reached_end': True}","{'correct': True, 'error': None, 'generated_sql': 'SELECT name, country, age FROM singer ORDER BY age DESC', 'golden_sql': 'SELECT name ,  country ,  age FROM singer ORDER BY age DESC', 'generated_result': [['Joe Sharp', 'Netherlands', 52], ['John Nizinik', 'France', 43], ['Rose White', 'France', 41], ['Timbaland', 'United States', 32], ['Justin Brown', 'France', 29], ['Tribal King', 'France', 25]], 'golden_result': [['Joe Sharp', 'Netherlands', 52], ['John Nizinik', 'France', 43], ['Rose White', 'France', 41], ['Timbaland', 'United States', 32], ['Justin Brown', 'France', 29], ['Tribal King', 'France', 25]], 'generated_row_count': 6, 'golden_row_count': 6}","{'correct': True, 'error': None, 'generated_sql': 'SELECT\n  name,\n  country,\n  age\nFROM singer\nORDER BY\n  age DESC', 'golden_sql': 'SELECT name ,  country ,  age FROM singer ORDER BY age DESC', 'generated_result': [['Joe Sharp', 'Netherlands', 52], ['John Nizinik', 'France', 43], ['Rose White', 'France', 41], ['Timbaland', 'United States', 32], ['Justin Brown', 'France', 29], ['Tribal King', 'France', 25]], 'golden_result': [['Joe Sharp', 'Netherlands', 52], ['John Nizinik', 'France', 43], ['Rose White', 'France', 41], ['Timbaland', 'United States', 32], ['Justin Brown', 'France', 29], ['Tribal King', 'France', 25]], 'generated_row_count': 6, 'golden_row_count': 6}",True,True,,,"SELECT name, country, age FROM singer ORDER BY age DESC","SELECT
  name,
  country,
  age
FROM singer
ORDER BY
  age DESC",6.0,6.0,6.0,spider_test_with_ask_responses_offset_0_max_rows_100.json
concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What is the average, minimum, and maximum age of all singers from France?","['SELECT', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'FROM', 'singer', 'WHERE', 'country', '=', ""'France"", ""'""]","['select', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'from', 'singer', 'where', 'country', '=', 'value']","['What', 'is', 'the', 'average', ',', 'minimum', ',', 'and', 'maximum', 'age', 'of', 'all', 'singers', 'from', 'France', '?']","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What is the average, minimum, and maximum age of all singers from France?', 'is_thinking': True, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': ""SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'"", 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': ""SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'"", 'ask_reached_end': True}","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What is the average, minimum, and maximum age of all singers from France?', 'is_thinking': False, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': ""```sql\nSELECT\n  AVG(age),\n  MIN(age),\n  MAX(age)\nFROM singer\nWHERE\n  country = 'France';\n```"", 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': ""```sql\nSELECT\n  AVG(age),\n  MIN(age),\n  MAX(age)\nFROM singer\nWHERE\n  country = 'France';\n```"", 'ask_reached_end': True}","{'correct': True, 'error': None, 'generated_sql': ""SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'"", 'golden_sql': ""SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"", 'generated_result': [[34.5, 25, 43]], 'golden_result': [[34.5, 25, 43]], 'generated_row_count': 1, 'golden_row_count': 1}","{'correct': False, 'error': 'Generated query failed: near ""sql"": syntax error', 'generated_sql': ""sql\nSELECT\n  AVG(age),\n  MIN(age),\n  MAX(age)\nFROM singer\nWHERE\n  country = 'France'"", 'golden_sql': ""SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"", 'generated_result': None, 'golden_result': [[34.5, 25, 43]], 'generated_row_count': None, 'golden_row_count': 1}",True,False,,"Generated query failed: near ""sql"": syntax error","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'","sql
SELECT
  AVG(age),
  MIN(age),
  MAX(age)
FROM singer
WHERE
  country = 'France'",1.0,,1.0,spider_test_with_ask_responses_offset_0_max_rows_100.json
concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What is the average, minimum, and maximum age for all French singers?","['SELECT', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'FROM', 'singer', 'WHERE', 'country', '=', ""'France"", ""'""]","['select', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'from', 'singer', 'where', 'country', '=', 'value']","['What', 'is', 'the', 'average', ',', 'minimum', ',', 'and', 'maximum', 'age', 'for', 'all', 'French', 'singers', '?']","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What is the average, minimum, and maximum age for all French singers?', 'is_thinking': True, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': ""SELECT AVG(singer.age) AS average_age, MIN(singer.age) AS minimum_age, MAX(singer.age) AS maximum_age FROM singer WHERE singer.country = 'France'"", 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': ""SELECT AVG(singer.age) AS average_age, MIN(singer.age) AS minimum_age, MAX(singer.age) AS maximum_age FROM singer WHERE singer.country = 'France'"", 'ask_reached_end': True}","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What is the average, minimum, and maximum age for all French singers?', 'is_thinking': False, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': ""```sql\nSELECT\n  AVG(age),\n  MIN(age),\n  MAX(age)\nFROM singer\nWHERE\n  country = 'French';\n```"", 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': ""```sql\nSELECT\n  AVG(age),\n  MIN(age),\n  MAX(age)\nFROM singer\nWHERE\n  country = 'French';\n```"", 'ask_reached_end': True}","{'correct': True, 'error': None, 'generated_sql': ""SELECT AVG(singer.age) AS average_age, MIN(singer.age) AS minimum_age, MAX(singer.age) AS maximum_age FROM singer WHERE singer.country = 'France'"", 'golden_sql': ""SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"", 'generated_result': [[34.5, 25, 43]], 'golden_result': [[34.5, 25, 43]], 'generated_row_count': 1, 'golden_row_count': 1}","{'correct': False, 'error': 'Generated query failed: near ""sql"": syntax error', 'generated_sql': ""sql\nSELECT\n  AVG(age),\n  MIN(age),\n  MAX(age)\nFROM singer\nWHERE\n  country = 'French'"", 'golden_sql': ""SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"", 'generated_result': None, 'golden_result': [[34.5, 25, 43]], 'generated_row_count': None, 'golden_row_count': 1}",True,False,,"Generated query failed: near ""sql"": syntax error","SELECT AVG(singer.age) AS average_age, MIN(singer.age) AS minimum_age, MAX(singer.age) AS maximum_age FROM singer WHERE singer.country = 'France'","sql
SELECT
  AVG(age),
  MIN(age),
  MAX(age)
FROM singer
WHERE
  country = 'French'",1.0,,1.0,spider_test_with_ask_responses_offset_0_max_rows_100.json
concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",Show the name and the release year of the song by the youngest singer.,"['SELECT', 'song_name', ',', 'song_release_year', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'LIMIT', '1']","['select', 'song_name', ',', 'song_release_year', 'from', 'singer', 'order', 'by', 'age', 'limit', 'value']","['Show', 'the', 'name', 'and', 'the', 'release', 'year', 'of', 'the', 'song', 'by', 'the', 'youngest', 'singer', '.']","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'Show the name and the release year of the song by the youngest singer.', 'is_thinking': True, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT name, song_release_year FROM singer ORDER BY age ASC LIMIT 1', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT name, song_release_year FROM singer ORDER BY age ASC LIMIT 1', 'ask_reached_end': True}","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'Show the name and the release year of the song by the youngest singer.', 'is_thinking': False, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': '```sqlite\nSELECT\n  name,\n  song_release_year\nFROM singer\nORDER BY\n  age ASC\nLIMIT 1;\n```', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': '```sqlite\nSELECT\n  name,\n  song_release_year\nFROM singer\nORDER BY\n  age ASC\nLIMIT 1;\n```', 'ask_reached_end': True}","{'correct': False, 'error': None, 'generated_sql': 'SELECT name, song_release_year FROM singer ORDER BY age ASC LIMIT 1', 'golden_sql': 'SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1', 'generated_result': [['Tribal King', '2016']], 'golden_result': [['Love', '2016']], 'generated_row_count': 1, 'golden_row_count': 1}","{'correct': False, 'error': None, 'generated_sql': 'SELECT\n  name,\n  song_release_year\nFROM singer\nORDER BY\n  age ASC\nLIMIT 1', 'golden_sql': 'SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1', 'generated_result': [['Tribal King', '2016']], 'golden_result': [['Love', '2016']], 'generated_row_count': 1, 'golden_row_count': 1}",False,False,,,"SELECT name, song_release_year FROM singer ORDER BY age ASC LIMIT 1","SELECT
  name,
  song_release_year
FROM singer
ORDER BY
  age ASC
LIMIT 1",1.0,1.0,1.0,spider_test_with_ask_responses_offset_0_max_rows_100.json
concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",What are the names and release years for all the songs of the youngest singer?,"['SELECT', 'song_name', ',', 'song_release_year', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'LIMIT', '1']","['select', 'song_name', ',', 'song_release_year', 'from', 'singer', 'order', 'by', 'age', 'limit', 'value']","['What', 'are', 'the', 'names', 'and', 'release', 'years', 'for', 'all', 'the', 'songs', 'of', 'the', 'youngest', 'singer', '?']","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What are the names and release years for all the songs of the youngest singer?', 'is_thinking': True, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT song_name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT song_name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)', 'ask_reached_end': True}","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What are the names and release years for all the songs of the youngest singer?', 'is_thinking': False, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': '```sqlite\nSELECT\n  song_name,\n  song_release_year\nFROM singer\nWHERE\n  age = (\n    SELECT\n      MIN(age)\n    FROM singer\n  );\n```', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': '```sqlite\nSELECT\n  song_name,\n  song_release_year\nFROM singer\nWHERE\n  age = (\n    SELECT\n      MIN(age)\n    FROM singer\n  );\n```', 'ask_reached_end': True}","{'correct': True, 'error': None, 'generated_sql': 'SELECT song_name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)', 'golden_sql': 'SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1', 'generated_result': [['Love', '2016']], 'golden_result': [['Love', '2016']], 'generated_row_count': 1, 'golden_row_count': 1}","{'correct': True, 'error': None, 'generated_sql': 'SELECT\n  song_name,\n  song_release_year\nFROM singer\nWHERE\n  age = (\n    SELECT\n      MIN(age)\n    FROM singer\n  )', 'golden_sql': 'SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1', 'generated_result': [['Love', '2016']], 'golden_result': [['Love', '2016']], 'generated_row_count': 1, 'golden_row_count': 1}",True,True,,,"SELECT song_name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)","SELECT
  song_name,
  song_release_year
FROM singer
WHERE
  age = (
    SELECT
      MIN(age)
    FROM singer
  )",1.0,1.0,1.0,spider_test_with_ask_responses_offset_0_max_rows_100.json
concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,What are all distinct countries where singers above age 20 are from?,"['SELECT', 'DISTINCT', 'country', 'FROM', 'singer', 'WHERE', 'age', '>', '20']","['select', 'distinct', 'country', 'from', 'singer', 'where', 'age', '>', 'value']","['What', 'are', 'all', 'distinct', 'countries', 'where', 'singers', 'above', 'age', '20', 'are', 'from', '?']","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What are all distinct countries where singers above age 20 are from?', 'is_thinking': True, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT DISTINCT country FROM singer WHERE age > 20', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT DISTINCT country FROM singer WHERE age > 20', 'ask_reached_end': True}","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What are all distinct countries where singers above age 20 are from?', 'is_thinking': False, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT DISTINCT country FROM singer WHERE age > 20;', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT DISTINCT country FROM singer WHERE age > 20;', 'ask_reached_end': True}","{'correct': True, 'error': None, 'generated_sql': 'SELECT DISTINCT country FROM singer WHERE age > 20', 'golden_sql': 'SELECT DISTINCT country FROM singer WHERE age  >  20', 'generated_result': [['Netherlands'], ['United States'], ['France']], 'golden_result': [['Netherlands'], ['United States'], ['France']], 'generated_row_count': 3, 'golden_row_count': 3}","{'correct': True, 'error': None, 'generated_sql': 'SELECT DISTINCT country FROM singer WHERE age > 20', 'golden_sql': 'SELECT DISTINCT country FROM singer WHERE age  >  20', 'generated_result': [['Netherlands'], ['United States'], ['France']], 'golden_result': [['Netherlands'], ['United States'], ['France']], 'generated_row_count': 3, 'golden_row_count': 3}",True,True,,,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20,3.0,3.0,3.0,spider_test_with_ask_responses_offset_0_max_rows_100.json
concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,What are  the different countries with singers above age 20?,"['SELECT', 'DISTINCT', 'country', 'FROM', 'singer', 'WHERE', 'age', '>', '20']","['select', 'distinct', 'country', 'from', 'singer', 'where', 'age', '>', 'value']","['What', 'are', 'the', 'different', 'countries', 'with', 'singers', 'above', 'age', '20', '?']","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What are  the different countries with singers above age 20?', 'is_thinking': True, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT DISTINCT country FROM singer WHERE age > 20', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT DISTINCT country FROM singer WHERE age > 20', 'ask_reached_end': True}","{'request_payload': {'user_id': 'user_123', 'model': 'google/gemma-4-E4B-it', 'first_user_message': 'I want to ask a question about my database schema.', 'question': 'What are  the different countries with singers above age 20?', 'is_thinking': False, 'skip_user_interaction': True, 'schema_name': 'concert_singer'}, 'http_status_code': 200, 'request_error': None, 'response_json': {'status': 'ok', 'answer': 'SELECT DISTINCT country FROM singer WHERE age > 20;', 'reached_end': True}, 'ask_status': 'ok', 'ask_answer': 'SELECT DISTINCT country FROM singer WHERE age > 20;', 'ask_reached_end': True}","{'correct': True, 'error': None, 'generated_sql': 'SELECT DISTINCT country FROM singer WHERE age > 20', 'golden_sql': 'SELECT DISTINCT country FROM singer WHERE age  >  20', 'generated_result': [['Netherlands'], ['United States'], ['France']], 'golden_result': [['Netherlands'], ['United States'], ['France']], 'generated_row_count': 3, 'golden_row_count': 3}","{'correct': True, 'error': None, 'generated_sql': 'SELECT DISTINCT country FROM singer WHERE age > 20', 'golden_sql': 'SELECT DISTINCT country FROM singer WHERE age  >  20', 'generated_result': [['Netherlands'], ['United States'], ['France']], 'golden_result': [['Netherlands'], ['United States'], ['France']], 'generated_row_count': 3, 'golden_row_count': 3}",True,True,,,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20,3.0,3.0,3.0,spider_test_with_ask_responses_offset_0_max_rows_100.json
